Province/State,Country/Region,Date,Metric,Count
"Ontario","Canada",2020-03-11,Confirmed,41
"Ontario","Canada",2020-03-11,Deaths,0
"Ontario","Canada",2020-03-11,Recovered,4
"British Columbia","Canada",2020-03-11,Confirmed,39
"British Columbia","Canada",2020-03-11,Deaths,1
"British Columbia","Canada",2020-03-11,Recovered,4
"Colorado","US",2020-03-11,Confirmed,34
"Colorado","US",2020-03-11,Deaths,0
"Colorado","US",2020-03-11,Recovered,0
"Florida","US",2020-03-11,Confirmed,28
"Florida","US",2020-03-11,Deaths,2
"Florida","US",2020-03-11,Recovered,0
"Illinois","US",2020-03-11,Confirmed,25
"Illinois","US",2020-03-11,Deaths,0
"Illinois","US",2020-03-11,Recovered,2
"Georgia","US",2020-03-11,Confirmed,23
"Georgia","US",2020-03-11,Deaths,0
"Georgia","US",2020-03-11,Recovered,0
"New Jersey","US",2020-03-11,Confirmed,23
"New Jersey","US",2020-03-11,Deaths,1
"New Jersey","US",2020-03-11,Recovered,0
"Texas","US",2020-03-11,Confirmed,21
"Texas","US",2020-03-11,Deaths,0
"Texas","US",2020-03-11,Recovered,0
"Alberta","Canada",2020-03-11,Confirmed,19
"Alberta","Canada",2020-03-11,Deaths,0
"Alberta","Canada",2020-03-11,Recovered,0
"Oregon","US",2020-03-11,Confirmed,19
"Oregon","US",2020-03-11,Deaths,0
"Oregon","US",2020-03-11,Recovered,0
"Pennsylvania","US",2020-03-11,Confirmed,16
"Pennsylvania","US",2020-03-11,Deaths,0
"Pennsylvania","US",2020-03-11,Recovered,0
"Iowa","US",2020-03-11,Confirmed,13
"Iowa","US",2020-03-11,Deaths,0
"Iowa","US",2020-03-11,Recovered,0
"Indiana","US",2020-03-11,Confirmed,11
"Indiana","US",2020-03-11,Deaths,0
"Indiana","US",2020-03-11,Recovered,0
"District of Columbia","US",2020-03-11,Confirmed,10
"District of Columbia","US",2020-03-11,Deaths,0
"District of Columbia","US",2020-03-11,Recovered,0
"South Carolina","US",2020-03-11,Confirmed,10
"South Carolina","US",2020-03-11,Deaths,0
"South Carolina","US",2020-03-11,Recovered,0
"Arizona","US",2020-03-11,Confirmed,9
"Arizona","US",2020-03-11,Deaths,0
"Arizona","US",2020-03-11,Recovered,1
"Maryland","US",2020-03-11,Confirmed,9
"Maryland","US",2020-03-11,Deaths,0
"Maryland","US",2020-03-11,Recovered,0
"Tennessee","US",2020-03-11,Confirmed,9
"Tennessee","US",2020-03-11,Deaths,0
"Tennessee","US",2020-03-11,Recovered,0
"Virginia","US",2020-03-11,Confirmed,9
"Virginia","US",2020-03-11,Deaths,0
"Virginia","US",2020-03-11,Recovered,0
"Quebec","Canada",2020-03-11,Confirmed,8
"Quebec","Canada",2020-03-11,Deaths,0
"Quebec","Canada",2020-03-11,Recovered,0
"Kentucky","US",2020-03-11,Confirmed,8
"Kentucky","US",2020-03-11,Deaths,0
"Kentucky","US",2020-03-11,Recovered,0
"South Dakota","US",2020-03-11,Confirmed,8
"South Dakota","US",2020-03-11,Deaths,1
"South Dakota","US",2020-03-11,Recovered,0
"Nevada","US",2020-03-11,Confirmed,7
"Nevada","US",2020-03-11,Deaths,0
"Nevada","US",2020-03-11,Recovered,0
"North Carolina","US",2020-03-11,Confirmed,7
"North Carolina","US",2020-03-11,Deaths,0
"North Carolina","US",2020-03-11,Recovered,0
"Louisiana","US",2020-03-11,Confirmed,6
"Louisiana","US",2020-03-11,Deaths,0
"Louisiana","US",2020-03-11,Recovered,0
"Wisconsin","US",2020-03-11,Confirmed,6
"Wisconsin","US",2020-03-11,Deaths,0
"Wisconsin","US",2020-03-11,Recovered,1
"Minnesota","US",2020-03-11,Confirmed,5
"Minnesota","US",2020-03-11,Deaths,0
"Minnesota","US",2020-03-11,Recovered,0
"Nebraska","US",2020-03-11,Confirmed,5
